iter	RMSE
0	1096.113623
1	921.6863833
2	799.9437694
3	714.7918921
4	657.7204123
5	619.4148738
6	594.1467147
7	578.0103499
8	563.1175564
9	553.2406936
10	546.1713335
11	539.7447539
12	535.5732997
13	532.2139843
14	529.3349874
15	525.1776861
16	523.2821938
17	521.3037198
18	517.937584
19	513.4596615
20	511.3347568
21	509.0942562
22	507.0866421
23	504.0631195
24	502.411566
25	500.8278186
26	498.2846702
27	496.2682788
28	492.5236237
29	489.5227794
30	486.2522432
31	485.6345244
32	481.993617
33	479.6886552
34	478.3301224
35	475.3791527
36	472.2496733
37	470.3698844
38	468.1906566
39	467.2929016
40	466.4926457
41	463.66829
42	461.2759472
43	460.0302943
44	459.0630963
45	456.3487675
46	454.1541606
47	452.1560128
48	449.9758379
49	448.2393388
50	445.8393546
51	443.8824226
52	440.7770777
53	437.2864714
54	436.072605
55	434.4921164
56	432.276772
57	430.7139184
58	428.8639083
59	427.8096503
60	426.0742453
61	424.4087161
62	423.2253968
63	422.2852188
64	421.6644898
65	419.6536885
66	416.115579
67	414.3252246
68	412.3430347
69	411.6262187
70	410.2073936
71	408.3567748
72	406.2346128
73	405.1316604
74	402.5003147
75	401.1466109
76	400.3414697
77	398.1007257
78	395.3743463
79	393.5619965
80	392.3662348
81	391.3071205
82	390.4004101
83	389.6185006
84	388.3887438
85	387.2586941
86	385.9369755
87	384.1233406
88	383.4785112
89	381.4706617
90	379.0618285
91	377.5163774
92	376.6030412
93	375.5901976
94	374.5338648
95	373.3935533
96	372.1105277
97	369.8031407
98	368.2170164
99	367.0089976
100	365.251036
101	364.5737438
102	363.4690931
103	362.5842184
104	362.2418661
105	361.4782393
106	360.7198629
107	359.1046659
108	357.5436069
109	356.6742118
110	355.8210723
111	355.0959631
112	353.891377
113	352.5800993
114	351.4506232
115	349.0403586
116	348.4613567
117	347.3204174
118	346.6336714
119	345.6008437
120	344.1569905
121	342.199999
122	341.112798
123	339.8753204
124	338.4056478
125	337.3433893
126	336.8361514
127	335.9264835
128	335.1547077
129	333.9048751
130	333.1025014
131	332.6272669
132	331.1326273
133	330.2544244
134	328.7826982
135	327.6429574
