iter	Passed	Remaining
0	272	817177
1	511	766857
2	836	835892
3	1098	822626
4	1361	815685
5	1742	869743
6	2223	950779
7	2489	931103
8	2759	916951
9	3067	917056
10	3409	926516
11	3707	923134
12	3995	918081
13	4271	911063
14	4564	908423
15	4835	901804
16	5097	894494
17	5365	888931
18	5625	882664
19	5892	877959
20	6153	872929
21	6421	869231
22	6705	867980
23	6976	865027
24	7239	861504
25	7565	865363
26	8059	887490
27	8332	884406
28	8601	881205
29	8901	881205
30	9186	879830
31	9538	884705
32	9799	881061
33	10049	876666
34	10307	873201
35	10639	876002
36	10968	878392
37	11284	879591
38	11605	881139
39	11870	878451
40	12134	875739
41	12393	872836
42	12645	869620
43	12911	867385
44	13163	864391
45	13423	861991
46	13676	859270
47	13946	857722
48	14199	855131
49	14449	852516
50	14713	850790
51	15027	851931
52	15341	853050
53	15662	854489
54	16009	857256
55	16277	855741
56	16611	857653
57	16948	859698
58	17286	861711
59	17576	861238
60	17844	859757
61	18108	858105
62	18358	855866
63	18623	854330
64	18882	852600
65	19138	850777
66	19390	848834
67	19653	847419
68	19906	845610
69	20157	843736
70	20414	842184
71	20676	840830
72	20937	839505
73	21192	837952
74	21447	836453
75	21709	835243
76	21968	833933
77	22230	832792
78	22487	831485
79	22747	830283
80	23002	828947
81	23255	827566
82	23524	826752
83	23787	825773
84	24041	824474
85	24294	823174
86	24611	824073
87	24871	823019
88	25119	821608
89	25380	820628
90	25637	819543
91	25892	818439
92	26148	817361
93	26415	816622
94	26671	815598
95	26919	814305
96	27177	813376
97	27443	812676
98	27703	811806
99	27962	810901
100	28218	809947
101	28476	809072
102	28752	808697
103	29002	807596
104	29260	806765
105	29522	806019
106	29995	810995
107	30249	810008
108	30505	809107
109	30764	808271
110	31010	807113
111	31263	806156
112	31518	805261
113	31775	804417
114	32028	803500
115	32282	802613
116	32540	801843
117	32797	801038
118	33061	800416
119	33317	799625
120	33581	799023
121	33842	798352
122	34099	797585
123	34340	796475
124	34599	795793
125	34853	794999
126	35106	794189
127	35360	793397
128	35622	792806
129	35897	792513
130	36161	791958
131	36422	791350
132	36682	790736
133	36939	790061
134	37193	789337
135	37458	788831
136	37726	788394
137	37984	787772
138	38238	787050
139	38507	786652
140	38762	785977
141	39012	785194
142	39261	784403
143	39518	783784
144	39781	783283
145	40029	782498
146	40287	781908
147	40538	781190
